A,B,Link Size
Matt Schlapp,ACU,2
Mike Pence,ACU,2
Paul Erickson,ACU,2
ProEnglish,ACU,2
Right On Crime,ACU,2
Sam Brownback,ACU,2
Scott Pruitt,ACU,2
Scott Walker,ACU,2
Stanton Evans,ACU,2
Ted Cruz,ACU,2
Willes Lee,ACU,2
William F. Buckley Jr.,ACU,2
Young Americans for Freedom,ACU,2
Bud McFarlane,ACU Strategic Partners,2
Michael Flynn,ACU Strategic Partners,2
Michael Hewitt,ACU Strategic Partners,2
Antony Fisher,Adam Smith Institute,2
Bill Dunn Fortune,Adam Smith Institute,2
British American Tobacco,Adam Smith Institute,2
Japan Tobacco,Adam Smith Institute,2
Charles Murray,Adam Smith Society,2
Eugene Meyer,Adam Smith Society,2
Evan Baehr,Adam Smith Society,2
James Piereson,Adam Smith Society,2
Miriam Adelson,Adelson Fortune,2
Sheldon Adelson,Adelson Fortune,2
Adelson Fortune,Adelson Institute for Strategic Studies,2
Natan Sharansky,Adelson Institute for Strategic Studies,2
Hassan Yassin,Adnan Khashoggi,2
Marc Rich,Adnan Khashoggi,2
Samuel Evans,Adnan Khashoggi,2
EOG Resources,ADNOC,2
ExxonMobil,ADNOC,2
NextDecade,ADNOC,2
Occidental Petroleum,ADNOC,2
Ratnagiri Refinery and Petrochemicals Limited,ADNOC,2
XRG,ADNOC,2
Altria,Advancement of Sound Science Center,2
APCO Worldwide,Advancement of Sound Science Center,2
Bruce Ames,Advancement of Sound Science Center,2
Frederick Seitz,Advancement of Sound Science Center,2
Garrey Carruthers,Advancement of Sound Science Center,2
Michael Fumento,Advancement of Sound Science Center,2
Altria,Advancement of Sound Science Coalition,2
Altria,Advancement of Sound Science Coalition,2
APCO Worldwide,Advancement of Sound Science Coalition,2
APCO Worldwide,Advancement of Sound Science Coalition,2
APCO Worldwide,Advancement of Sound Science Coalition,2
Candace Crandall,Advancement of Sound Science Coalition,2
Fred Singer,Advancement of Sound Science Coalition,2
Garrey Carruthers,Advancement of Sound Science Coalition,2
Henry Miller,Advancement of Sound Science Coalition,2
Henry Miller,Advancement of Sound Science Coalition,2
Robert Crandall,Advancement of Sound Science Coalition,2
Steven Milloy,Advancement of Sound Science Coalition,2
Thomas Borelli,Advancement of Sound Science Coalition,2
Bill Dunn Fortune,Advocates for Self-Government,2
DonorsTrust/Donors Capital Fund,Advocates for Self-Government,2
Seid Fortune,Advocates for Self-Government,2
Bud McFarlane,Aegis Defence Services,2
Alcoa,AEI Legal Center for the Public Interest,2
Altria,AEI Legal Center for the Public Interest,2
Amoco,AEI Legal Center for the Public Interest,2
Anschutz Fortune,AEI Legal Center for the Public Interest,2
Arnaud de Borchgrave,AEI Legal Center for the Public Interest,2
AT&T,AEI Legal Center for the Public Interest,2
Atlantic Legal Foundation,AEI Legal Center for the Public Interest,2
Bill Barr,AEI Legal Center for the Public Interest,2
Boyden Gray,AEI Legal Center for the Public Interest,2
Bradley Foundation,AEI Legal Center for the Public Interest,2
Coors Fortune,AEI Legal Center for the Public Interest,2
Ernie Hueter,AEI Legal Center for the Public Interest,2
Eugene Meyer,AEI Legal Center for the Public Interest,2
ExxonMobil,AEI Legal Center for the Public Interest,2
Fannie Mae,AEI Legal Center for the Public Interest,2
Ford,AEI Legal Center for the Public Interest,2
Fred Fielding,AEI Legal Center for the Public Interest,2
GTE,AEI Legal Center for the Public Interest,2
Heinz,AEI Legal Center for the Public Interest,2
John M. Oilin Foundation,AEI Legal Center for the Public Interest,2
John Roberts,AEI Legal Center for the Public Interest,2
Joseph diGenova,AEI Legal Center for the Public Interest,2
Ken Starr,AEI Legal Center for the Public Interest,2
Kimberly-Clark,AEI Legal Center for the Public Interest,2
Krafts,AEI Legal Center for the Public Interest,2
Mellon Scaife Fortune,AEI Legal Center for the Public Interest,2
Merrill Lynch,AEI Legal Center for the Public Interest,2
Nabisco,AEI Legal Center for the Public Interest,2
Pacific Legal Foundation,AEI Legal Center for the Public Interest,2
Procter & Gamble,AEI Legal Center for the Public Interest,2
Robert Bork,AEI Legal Center for the Public Interest,2
Robert Strauss,AEI Legal Center for the Public Interest,2
Sprint,AEI Legal Center for the Public Interest,2
Ted Frank,AEI Legal Center for the Public Interest,2
Ted Olson,AEI Legal Center for the Public Interest,2
Textron,AEI Legal Center for the Public Interest,2
Walter Williams,AEI Legal Center for the Public Interest,2
William Webster,AEI Legal Center for the Public Interest,2
Robert Bass,Aerion Corporation,2
CIA,Aero Contractors,2
Erik Ahrens,AfD,2
Human Diversity Foundation/Pioneer Fund,AfD,2
Mathias Döpfner,AfD,2
Israel Shipyards,Affinity Partners,2
Jared Kushner,Affinity Partners,2
Albert Shanker,AFL-CIO,2
American Institute for Free Labor Development,AFL-CIO,2
Glover Park Group,AFL-CIO,2
Jay Lovestone,AFL-CIO,2
Jay Mazur,AFL-CIO,2
Jim Savarese,AFL-CIO,2
Joaquin Otero,AFL-CIO,2
John Joyce,AFL-CIO,2
Lane Kirkland,AFL-CIO,2
Thomas Donohue,AFL-CIO,2
Berman & Company,AFT Facts,2
Center for Union Facts,AFT Facts,2
John Bolton,AggregateIQ,2
Robert Mercer,AggregateIQ,2
Ted Cruz,AggregateIQ,2
Stefano Delle Chiaie,Aginter Press,2
Yves Guérin-Sérac,Aginter Press,2
David Wurmser,Ahmad Chalabi,2
Douglas Feith,Ahmad Chalabi,2
Francis Brooke,Ahmad Chalabi,2
Harold Rhode,Ahmad Chalabi,2
Michael Ledeen,Ahmad Chalabi,2
Paul Wolfowitz,Ahmad Chalabi,2
Randy Scheunemann,Ahmad Chalabi,2
Cyrus Hashemi,Ahmad Madani,2
Jamshid Hashemi,Ahmad Madani,2
George Nader,Ahmed al-Assiri,2
Steve Bannon,Ahmed al-Assiri,2
Danielle Pletka,Ahmed Chalabi,2
Alan Walters,AIG,2
Coalition of Services Industries,AIG,2
Hank Greenberg,AIG,2
Hank Greenberg,AIG,2
Hill & Knowlton,AIG,2
Suzanne Folsom,AIG,2
10/7 Project,AIPAC,2
Adelson Fortune,AIPAC,2
Barack Obama,AIPAC,2
Becker Fortune,AIPAC,2
Benjamin Netanyahu,AIPAC,2
Bernard Marcus,AIPAC,2
Bob Menendez,AIPAC,2
Chuck Schumer,AIPAC,2
Citizens for a Nuclear Free Iran,AIPAC,2
David Project,AIPAC,2
Donald Trump,AIPAC,2
Eric Cantor,AIPAC,2
George W. Bush,AIPAC,2
Harriet Zimmerman,AIPAC,2
Hillary Clinton,AIPAC,2
Israeli American Council,AIPAC,2
James Baker,AIPAC,2
Jewish Communal Fund,AIPAC,2
Joe Biden,AIPAC,2
John Kasich,AIPAC,2
John McCain,AIPAC,2
Kevin McCarthy,AIPAC,2
Lawrence Franklin,AIPAC,2
Marcus Fortune,AIPAC,2
Mike Bloomberg,AIPAC,2
Mike Pence,AIPAC,2
Milstein Fortune,AIPAC,2
Morris Amitay,AIPAC,2
Nina Rosenwald,AIPAC,2
Paul Ryan,AIPAC,2
Paul Wolfowitz,AIPAC,2
Steny Hoyer,AIPAC,2
Ted Cruz,AIPAC,2
Thomas Dine,AIPAC,2
Tom Ridge,AIPAC,2
Washington Institute for Near East Policy,AIPAC,2
Claire Lee Chennault,Air America,2
Paul Helliwell,Air America,2
Richard Secord,Air America,2
Gray Robertson,Air Conditioning & Ventilation Associates,2
Altria,Air Quality Standards Coalition,2
Boyden Gray,Air Quality Standards Coalition,2
Chevron,Air Quality Standards Coalition,2
Monsanto,Air Quality Standards Coalition,2
Texaco,Air Quality Standards Coalition,2
Chris Lehane,Airbnb,2
David Sacks,Airbnb,2
Laphonza Butler,Airbnb,2
Marisa Moret,Airbnb,2
Paul Singer,Aish HaTorah,2
Raphael Shore,Aish HaTorah,2
Singer Fortune,Aish HaTorah,2
Al From,Akin Gump,2
Bill Paxon,Akin Gump,2
Bill Paxon,Akin Gump,2
Dan Glickman,Akin Gump,2
Ileana Ros-Lehtinen,Akin Gump,2
James Langdon,Akin Gump,2
James Langdon,Akin Gump,2
James Tucker,Akin Gump,2
Joe Donnelly,Akin Gump,2
John Dowd,Akin Gump,2
John Sununu,Akin Gump,2
Lamar Smith,Akin Gump,2
Mark Holden,Akin Gump,2
Robert Blackwill,Akin Gump,2
Robert Strauss,Akin Gump,2
Robert Strauss,Akin Gump,2
Time Warner,Akin Gump,2
Tommy Thompson,Akin Gump,2
Vernon Jordan,Akin Gump,2
Vic Fazio,Akin Gump,2
Chris Lehane,Al Gore,2
Jack Quinn,Al Gore,2
Marty Peretz,Al Gore,2
William Daley,Al Gore,2
James Baker,Al Waleed bin Talal Al Saud,2
Anwar al-Awlaki,al-Qaeda,2
Bandar bin Sultan Al Saud,al-Qaeda,2
Khalid al-Mihdhar,al-Qaeda,2
Khalid bin Mahfouz,Al-Qaeda,2
Mohamed Atta,al-Qaeda,2
Nawaf al-Hazmi,al-Qaeda,2
Osama bin Laden,al-Qaeda,2
Caleb Crosby,Alabama Policy Institute,2
DonorsTrust/Donors Capital Fund,Alabama Policy Institute,2
Roe Fortune,Alabama Policy Institute,2
State Policy Network,Alabama Policy Institute,2
Alan Dershowitz,Alan Cranston,2
Charles Keating,Alan Cranston,2
Guma Aguiar,Alan Dershowitz,2
DonorsTrust/Donors Capital Fund,Alaska Policy Forum,2
Roe Fortune,Alaska Policy Forum,2
State Policy Network,Alaska Policy Forum,2
Paul Wolfowitz,Albert Wohlstetter,2
Klaus Kleinfeld,Alcoa,2
1792 Exchange,ALEC,2
ACU,ALEC,2
Alan Smith,ALEC,2
Alliance Defending Freedom,ALEC,2
Alliance for School Choice,ALEC,2
Altria,ALEC,2
America's Natural Gas Alliance,ALEC,2
American Bankers Association,ALEC,2
American Beverage Association,ALEC,2
American Chemistry Council,ALEC,2
American Coalition for Clean Coal Electricity,ALEC,2
American Express,ALEC,2
American Fuel and Petrochemical Manufacturers,ALEC,2
American Insurance Association,ALEC,2
American Petroleum Institute,ALEC,2
American Principles Project,ALEC,2
Americans for Prosperity,ALEC,2
Americans for Prosperity,ALEC,2
Americans for Prosperity,ALEC,2
Americans for Tax Reform,ALEC,2
Americans United for Life,ALEC,2
Andrew Witty,ALEC,2
Anschutz Fortune,ALEC,2
Armstrong Fortune,ALEC,2
Arthur Brooks,ALEC,2
Arthur Laffer,ALEC,2
AT&T,ALEC,2
Ballard Partners,ALEC,2
Bank of America,ALEC,2
Barrick Gold,ALEC,2
Bayer,ALEC,2
Bill Seitz,ALEC,2
Biotechnology Industry Organization,ALEC,2
Blair Thoreson,ALEC,2
Bob Kasten,ALEC,2
Bob Williams,ALEC,2
Boeing,ALEC,2
BP,ALEC,2
Bradley Foundation,ALEC,2
Bradley Foundation,ALEC,2
British American Tobacco,ALEC,2
Brownstein Hyatt Farber Schreck,ALEC,2
Capital Research Center,ALEC,2
Capital Research Center,ALEC,2
Caterpillar,ALEC,2
Center for Security Policy,ALEC,2
Center for the Study of Carbon Dioxide and Global Change,ALEC,2
Charles Koch,ALEC,2
Cheniere Energy,ALEC,2
Chesapeake Energy,ALEC,2
Chevron,ALEC,2
Chlorine Chemistry Council,ALEC,2
Christian Coalition,ALEC,2
Citizens Against Government Waste,ALEC,2
Civitas Institute,ALEC,2
ClearWord Communications,ALEC,2
CN,ALEC,2
Coca-Cola,ALEC,2
Comcast,ALEC,2
Committee to Unleash Prosperity,ALEC,2
Concord Fund/85 Fund,ALEC,2
ConocoPhillips,ALEC,2
Convention of States,ALEC,2
CoreCivic,ALEC,2
Corey Lewandowski,ALEC,2
CRC Advisors,ALEC,2
CropLife America,ALEC,2
Dan Bishop,ALEC,2
David Koch,ALEC,2
DCI Group,ALEC,2
Dell,ALEC,2
Derek Crawford,ALEC,2
Devon Energy,ALEC,2
Diageo,ALEC,2
DonorsTrust/Donors Capital Fund,ALEC,2
Doug Collins,ALEC,2
Dow,ALEC,2
Duke Energy,ALEC,2
Edelman,ALEC,2
Edelman,ALEC,2
Edison Electric,ALEC,2
Edison Electric,ALEC,2
Eli Lilly,ALEC,2
Enron,ALEC,2
ExxonMobil,ALEC,2
Family Research Council,ALEC,2
FedEx,ALEC,2
Ford,ALEC,2
Frank Cannon,ALEC,2
Franklin News Foundation,ALEC,2
Franklin News Foundation,ALEC,2
Fraser Institute,ALEC,2
Frederick Kagan,ALEC,2
Freedom Foundation,ALEC,2
FreedomWorks,ALEC,2
G4S/Wackenhut,ALEC,2
G4S/Wackenhut,ALEC,2
GE,ALEC,2
Gene Rackley,ALEC,2
Gene Rackley,ALEC,2
GEO Group,ALEC,2
GlaxoSmithKline,ALEC,2
Goldwater Institute,ALEC,2
Goldwater Institute,ALEC,2
Google,ALEC,2
Grace-Marie Turner,ALEC,2
Greenberg Traurig,ALEC,2
Grocery Manufacturers of America,ALEC,2
Heartland Institute,ALEC,2
Heritage Foundation,ALEC,2
Heritage Foundation,ALEC,2
Holtzman Vogel,ALEC,2
Home Depot,ALEC,2
Honeywell,ALEC,2
HP,ALEC,2
Humana,ALEC,2
IBM,ALEC,2
Illinois Policy Institute,ALEC,2
Independence Institute,ALEC,2
Institute for Energy Research,ALEC,2
Institute for Humane Studies,ALEC,2
Institute for Justice,ALEC,2
Institute for Legal Reform,ALEC,2
Institute for Legal Reform,ALEC,$2
Institute for Policy Innovation,ALEC,2
Intel,ALEC,2
International Franchise Association,ALEC,2
Intuit,ALEC,2
Jack Keane,ALEC,2
Jason Torchinsky,ALEC,2
Jean Card,ALEC,2
JM Foundation,ALEC,2
John Boehner,ALEC,2
John Deere,ALEC,2
John Engler,ALEC,2
John Graham,ALEC,2
John Kasich,ALEC,2
John Locke Foundation,ALEC,2
John Perzel,ALEC,2
Johnson & Johnson,ALEC,2
Johnson & Johnson,ALEC,2
Koch Companies,ALEC,2
Koch Industries,ALEC,2
Koch Network,ALEC,2
Kraft,ALEC,2
Kraft,ALEC,2
Kristi Noem,ALEC,2
Leadership Institute,ALEC,2
Legatum,ALEC,2
Lisa Nelson,ALEC,2
Mackinac Center,ALEC,2
Mackinac Center,ALEC,2
Management and Training Corporation,ALEC,2
Manhattan Institute,ALEC,2
Marathon Petroleum,ALEC,2
Marco Rubio,ALEC,2
Mark Behrens,ALEC,2
Mars,ALEC,2
McDonald's,ALEC,2
Mellon Scaife Fortune,ALEC,2
Mercatus Center,ALEC,2
Mercatus Center,ALEC,2
Merck,ALEC,2
Michael Morgan,ALEC,2
Microsoft,ALEC,2
Microsoft,ALEC,2
Microsoft,ALEC,2
Mitch Daniels,ALEC,2
Monsanto,ALEC,2
Motorola,ALEC,2
National Association of Manufacturers,ALEC,2
National Center for Policy Analysis,ALEC,2
National Federation of Independent Business,ALEC,2
National Federation of Independent Business,ALEC,2
National Organization for Marriage,ALEC,2
National Pork Producers Council,ALEC,2
National Restaurant Association,ALEC,2
National Restaurant Association,ALEC,2
National Taxpayers Union,ALEC,2
Nationwide Insurance,ALEC,2
Nestlé,ALEC,2
News Corp,ALEC,2
Nickles Group,ALEC,2
Norfolk Southern,ALEC,2
Novartis,ALEC,2
NRA,ALEC,2
NRA,ALEC,2
Nuclear Energy Institute,ALEC,2
Oklahoma Council of Public Affairs,ALEC,2
Paul Weyrich,ALEC,2
Peabody Energy,ALEC,2
Peabody Energy,ALEC,2
Pelican Institute for Public Policy,ALEC,2
Pennzoil,ALEC,2
PepsiCo,ALEC,2
Pfizer,ALEC,2
PG&E,ALEC,2
PG&E,ALEC,2
PhRMA,ALEC,2
PhRMA,ALEC,2
Pioneer Institute,ALEC,2
PNC,ALEC,2
Prison Fellowship Ministries,ALEC,2
Procter & Gamble,ALEC,2
Procter & Gamble,ALEC,2
Purdue Pharma,ALEC,2
Raytheon,ALEC,2
Reason Foundation,ALEC,2
Richard Vedder,ALEC,2
Roe Fortune,ALEC,2
Roe Foundation,ALEC,2
Roe Foundation,ALEC,2
Sam Brownback,ALEC,2
Sara Lee,ALEC,2
Scott Pruitt,ALEC,2
Scott Turner,ALEC,2
Scott Walker,ALEC,2
Seagram,ALEC,2
Seagram,ALEC,2
Searle Fortune,ALEC,2
Shell,ALEC,2
Sony,ALEC,2
Southern Company,ALEC,2
Southern Strategy Group,ALEC,2
State Farm,ALEC,2
State Farm,ALEC,2
Stephen Moore,ALEC,2
Symantec,ALEC,2
T-Mobile,ALEC,2
Tax Foundation,ALEC,2
TC Energy,ALEC,2
Texas Public Policy Foundation,ALEC,2
Thomas Smith Fortune,ALEC,2
Tobacco Institute,ALEC,2
Todd Kruse,ALEC,2
Tommy Thompson,ALEC,2
Tracie Sharp,ALEC,2
TC Energy,ALEC,2
U.S. Chamber of Commerce,ALEC,2
U.S. Chamber of Commerce,ALEC,2
Uihlein Fortune,ALEC,2
Unilever,ALEC,2
United Airlines,ALEC,2
UnitedHealth,ALEC,2
UPS,ALEC,2
UPS,ALEC,2
Verizon,ALEC,2
Visa,ALEC,2
Walgreens,ALEC,2
WallBuilders,ALEC,2
Walmart,ALEC,2
Walton Family Foundation,ALEC,2
Washington Policy Center,ALEC,2
Washington Times,ALEC,2
Western Union,ALEC,$2
Xcel Energy,ALEC,2
Yum!,ALEC,2
Alain de Benoist,Aleksandr Dugin,2
John Dougan,Aleksandr Dugin,2
David Keene,Aleksandr Torshin,2
Jared Kushner,Aleph Institute,2
Milstein Fortune,Aleph Institute,2
Murray and Sydell Rosenberg Foundation,Aleph Institute,2
Bert Stubblebine,Alex Jones,2
Bill Binney,Alex Jones,2
Donald Trump,Alex Jones,2
Michael Flynn,Alex Jones,2
Nick Fuentes,Alex Jones,2
Oath Keepers,Alex Jones,2
Proud Boys,Alex Jones,2
Rand Paul,Alex Jones,2
Richard Mack,Alex Jones,2
Roger Stone,Alex Jones,2
Ron Paul,Alex Jones,2
Stephen Miller,Alex Jones,2
Steve Bannon,Alex Jones,2
Gun Owners of America,Alex Mooney,2
Rick Gates,Alex van der Zwaan,2
Bud McFarlane,Alexander Haig,2
Achelis and Bodman Foundation,Alexander Hamilton Society,2
Kori Schake,Alexander Hamilton Society,2
Vanguard Charitable Endowment Program,Alexander Hamilton Society,2
Amelia Blackwood,Alexander Strategy Group,2
Amgen,Alexander Strategy Group,2
Belle Haven Consultants,Alexander Strategy Group,2
BellSouth,Alexander Strategy Group,2
Brian Darling,Alexander Strategy Group,2
British American Tobacco,Alexander Strategy Group,2
Constellis (Blackwater),Alexander Strategy Group,2
Daniel Gans,Alexander Strategy Group,2
Ed Buckham,Alexander Strategy Group,2
Edward Stewart,Alexander Strategy Group,2
Eli Lilly,Alexander Strategy Group,2
Enron,Alexander Strategy Group,2
Fannie Mae,Alexander Strategy Group,2
Freddie Mac,Alexander Strategy Group,2
Harbour Group,Alexander Strategy Group,2
Jack Abramoff,Alexander Strategy Group,2
Karl Gallant,Alexander Strategy Group,2
Koch Industries,Alexander Strategy Group,2
Linda Feulner,Alexander Strategy Group,2
Microsoft,Alexander Strategy Group,2
PerfectWave,Alexander Strategy Group,2
Time Warner,Alexander Strategy Group,2
Tony Rudy,Alexander Strategy Group,2
UPS,Alexander Strategy Group,2
Andy Wigmore,Alexander Yakovenko,2
Arron Banks,Alexander Yakovenko,2
Nigel Farage,Alexander Yakovenko,2
Altria,Alexis de Tocqueville Institution,2
AT&T,Alexis de Tocqueville Institution,2
Bob Tollison,Alexis de Tocqueville Institution,2
Bradley Foundation,Alexis de Tocqueville Institution,2
Caspar Weinberger,Alexis de Tocqueville Institution,2
Cesar Conda,Alexis de Tocqueville Institution,2
Consumer Alert,Alexis de Tocqueville Institution,2
Cooler Heads Coalition,Alexis de Tocqueville Institution,2
Dan McGroarty,Alexis de Tocqueville Institution,2
Dick Armey,Alexis de Tocqueville Institution,2
Dick Cheney,Alexis de Tocqueville Institution,2
Donald Rumsfeld,Alexis de Tocqueville Institution,2
Fannie Mae,Alexis de Tocqueville Institution,2
Frank Cannon,Alexis de Tocqueville Institution,2
Frank Carlucci,Alexis de Tocqueville Institution,2
Fred Singer,Alexis de Tocqueville Institution,2
Harold Brown,Alexis de Tocqueville Institution,2
Jack Kemp,Alexis de Tocqueville Institution,2
James Schlesinger,Alexis de Tocqueville Institution,2
Jeffrey Bell,Alexis de Tocqueville Institution,2
John M. Olin Foundation,Alexis de Tocqueville Institution,2
Koch Network,Alexis de Tocqueville Institution,2
Loren Thompson,Alexis de Tocqueville Institution,2
Mellon Scaife Fortune,Alexis de Tocqueville Institution,2
Melvin Laird,Alexis de Tocqueville Institution,2
Michael Boskin,Alexis de Tocqueville Institution,2
Microsoft,Alexis de Tocqueville Institution,2
Newt Gingrich,Alexis de Tocqueville Institution,2
Northrop Grumman,Alexis de Tocqueville Institution,2
Philip M. McKenna Foundation,Alexis de Tocqueville Institution,2
Richard Wagner,Alexis de Tocqueville Institution,2
Robert Helm,Alexis de Tocqueville Institution,2
Stephen Moore,Alexis de Tocqueville Institution,2
Tobacco Institute,Alexis de Tocqueville Institution,2
Alfa-Bank,Alfa Capital Partners Advisory Board,2
Richard Burt,Alfa Capital Partners Advisory Board,2
Alexey Kuzmichev,Alfa Group,2
Altimo,Alfa Group,2
Derkach Group,Alfa Group,2
Diligence,Alfa Group,2
German Khan,Alfa Group,2
Jones Day,Alfa Group,2
Mikhail Fridman,Alfa Group,2
TNK,Alfa Group,2
TNK-BP,Alfa Group,2
Alexander Knaster,Alfa-Bank,2
Alexey Kuzmichev,Alfa-Bank,2
BGR Group,Alfa-Bank,2
Derkach Group,Alfa-Bank,2
German Khan,Alfa-Bank,2
Jones Day,Alfa-Bank,2
Mikhail Fridman,Alfa-Bank,2
Pyotr Aven,Alfa-Bank,2
Richard Burt,Alfa-Bank,2
Robert Blackwill,Alfa-Bank,2
Vladislav Surkov,Alfa-Bank,2
Joe Allbaugh,Allbaugh Company,2
KBR,Allbaugh Company,2
James Kronthal,Allen Dulles,2
James McCord,Allen Dulles,2
Tom Braden,Allen Dulles,2
Aaron Reitz,Alliance Defending Freedom,2
Alan Sears,Alliance Defending Freedom,2
Amy Coney Barrett,Alliance Defending Freedom,2
Anschutz Fortune,Alliance Defending Freedom,2
Bader Fortune,Alliance Defending Freedom,2
Bill Barr,Alliance Defending Freedom,2
Bill Bright,Alliance Defending Freedom,2
Bill Dunn Fortune,Alliance Defending Freedom,2
DeVos Fortune,Alliance Defending Freedom,2
DonorsTrust/Donors Capital Fund,Alliance Defending Freedom,2
James Dobson,Alliance Defending Freedom,2
James Lankford,Alliance Defending Freedom,2
Jeff Sessions,Alliance Defending Freedom,2
Kindt Christian Charitable Trust,Alliance Defending Freedom,2
Michael Farris,Alliance Defending Freedom,2
Prince Fortune,Alliance Defending Freedom,2
Schwab Charitable Fund,Alliance Defending Freedom,2
Servant Foundation,Alliance Defending Freedom,2
Ziklag,Alliance Defending Freedom,2
Burson,Alliance for Abundant Food and Energy,2
